code,pop,cases,location,new_cases,duration,pop_rel,dur_rel
18450,219798,84,"150.83730721065484,-34.368675447573644",21.0,3569.0,0.50952292642218,0.247325143069846
15350,30785,50,"151.24463544386703,-33.829080984816656",10.0,1501.7,0.07136399462191108,0.32698016511978356
14650,207775,65,"151.5302602461765,-33.038822256976715",20.0,8355.5,0.4816519078306829,0.1690552092754285
15240,94395,41,"152.09558705960933,-32.014709868466575",7.0,14681.3,0.2188209930919375,0.11719133261248849
16950,107191,37,"150.373837705699,-35.09381768065857",9.0,9347.3,0.24848393527748158,0.158734273218598
15900,167363,68,"151.69568778704053,-32.88004907543234",19.0,8179.7,0.38797116231628725,0.17101183483110471
10470,43996,9,"149.52602874931048,-33.42947032743892",0.0,11637.7,0.10198896564513886,0.13856836501429248
14400,23685,7,"150.7561991375902,-34.67886238309487",1.0,6232.5,0.05490518800129816,0.1960282981395708
17550,98382,18,"153.35633453217503,-28.35998977264778",2.0,36047.5,0.2280634243590338,0.03453894110793154
15050,87395,34,"151.54970728552627,-32.71081144780645",4.0,9039.5,0.2025940006490797,0.16181522552411942
12700,9664,5,"151.6080480513078,-32.34938368727571",2.0,12101.7,0.022402522138253975,0.13497099181777295
17100,47767,40,"151.0764371577769,-33.8804237462332",26.0,1195.3,0.11073067828828412,0.3479777199747778
14920,7853,2,"150.43848862483787,-31.550653364651403",0.0,20373.9,0.018204367379108907,0.08704031297563464
11730,51730,8,"152.75145556946865,-29.68108914166177",0.0,31123.8,0.11991747415271918,0.04805248961745778
16380,85952,26,"152.5310964922701,-31.40973060919097",1.0,21384.4,0.19924892206407344,0.08258621014270207
16490,62239,17,"149.62729037113962,-35.422362710076754",0.0,14154.5,0.14427882609300385,0.12055369116211201
16900,74622,31,"150.77385905798897,-34.58270372179359",4.0,5236.6,0.1729843757244193,0.21204833256289535
10550,34727,10,"149.71769601243236,-36.82457797356941",1.0,22627.4,0.08050210950901757,0.07738745400816849
12750,38952,18,"149.94732013369696,-35.94473717292726",7.0,18700.6,0.09029625851917103,0.09492579065011664
16400,74506,46,"151.84466211058748,-32.721817222315835",10.0,10121.1,0.17271547127822337,0.1514159892591166
17310,62545,13,"150.90572040144085,-30.891368424981366",3.0,22362.6,0.1449881774769345,0.0784706048490802
17400,6470,3,"152.08728495901101,-28.943362456504623",3.0,34246.6,0.014998377300755714,0.03925465780637938
10050,55055,11,"146.9704426335616,-36.02659569023541",3.0,22147.6,0.12762529556307664,0.07935952802761537
10250,45217,15,"153.4861843625708,-28.852851817084314",4.0,32352.1,0.10481941675552876,0.04449099953920277
10850,7382,3,"149.14205441150543,-33.59431680526526",0.0,13795.5,0.01711252260188233,0.12291753324283095
15270,25367,6,"149.74233660480937,-32.59340599949931",0.0,14847.7,0.05880430247113914,0.11615430309583874
