code,name,area,location
16350,Penrith,404.7016,"150.71807677940083,-33.76532148762778"
16380,Port Macquarie-Hastings,3682.3921,"152.5310964922701,-31.40973060919097"
16400,Port Stephens,858.4357,"151.84466211058748,-32.721817222315835"
16490,Queanbeyan-Palerang Regional,5318.8822,"149.62729037113962,-35.422362710076754"
16550,Randwick,36.3311,"151.24020901452275,-33.94323039472664"
16610,Richmond Valley,3047.3748,"153.04623798411018,-29.059541030598943"
16700,Ryde,40.4748,"151.1105625315235,-33.79913702935751"
16900,Shellharbour,147.4211,"150.77385905798897,-34.58270372179359"
16950,Shoalhaven,4566.6795,"150.373837705699,-35.09381768065857"
17000,Singleton,4892.717,"150.96550721721314,-32.66020800503989"
17040,Snowy Monaro Regional,15163.5461,"148.95921173441297,-36.39485921042826"
17080,Snowy Valleys,8959.0028,"148.24966997657697,-35.73229079439277"
17100,Strathfield,14.0009,"151.0764371577769,-33.8804237462332"
17150,Sutherland Shire,333.5933,"151.05102241612386,-34.07513057244234"
17200,Sydney,26.7429,"151.2027413754637,-33.88936073927025"
17310,Tamworth Regional,9884.3506,"150.90572040144085,-30.891368424981366"
17350,Temora,2802.016,"147.4837280397477,-34.387900734341315"
17400,Tenterfield,7322.793,"152.08728495901101,-28.943362456504623"
17420,The Hills Shire,386.1588,"150.9620102548158,-33.58815314163266"
17550,Tweed,1307.6562,"153.35633453217503,-28.35998977264778"
17620,Upper Hunter Shire,8096.0892,"150.72741530222663,-31.9698013440421"
17640,Upper Lachlan Shire,7127.3957,"149.4557816140465,-34.4173983543572"
17650,Uralla,3226.5327,"151.31173603369325,-30.50745196532619"
17750,Wagga Wagga,4824.4889,"147.36554149295995,-35.196523658119574"
17850,Walcha,6261.0242,"151.7846778294189,-31.16369373548745"
17900,Walgett,22308.3848,"148.1948524260511,-29.815794595862837"
17950,Warren,10753.7673,"147.67860395109426,-31.323928922201866"
18020,Warrumbungle Shire,12372.1201,"149.40470890698666,-31.461387790370384"
18050,Waverley,9.3507,"151.2668480864326,-33.89004992410144"
18100,Weddin,3414.8566,"148.0110918348152,-33.872001177241934"
18200,Wentworth,26256.2398,"142.24473977162265,-33.570083848728316"
18250,Willoughby,22.4258,"151.19637056173246,-33.80109865938093"
18350,Wingecarribee,2689.3413,"150.3562699109851,-34.476852406398315"
18400,Wollondilly,2555.434,"150.44367772267853,-34.10192338084141"
18450,Wollongong,683.986,"150.83730721065484,-34.368675447573644"
18500,Woollahra,12.2775,"151.25739625153932,-33.87167415027717"
18710,Yass Valley,3995.3257,"148.88480452474886,-34.954021455151434"
19399,Unincorporated NSW,93214.1592,"142.2253811817619,-30.64322102455409"
89399,ACT,2358.172,"149.00271876741513,-35.488373062124964"
